 GPS_altitude, GPS_speed (m/s),Sample Time Delta (s),Throttle Val Raw,Motor 1 Raw,Motor 2 Raw,Motor 3 Raw,Motor 4 Raw,Throttle Value (%),Motor 1 Output (%),Motor 2 Output (%),Motor 3 Output (%),Motor 4 Output (%),Acceleration (m/s),Distance btwn pts
111,65.45,0.180339,2000,1975,1901,1969,2047,100,96.48265755,92.86761114,96.18954568,100,0.22180449,11.80318755
109,65.45,0.019817,2000,1950,1881,1963,2047,100,95.26135809,91.89057157,95.89643381,100,0,1.29702265
108,65.05,0.200415,1965,1908,1844,1983,2046,96.5,93.20957499,90.08304836,96.87347338,99.95114802,-1.995858593,13.03699575
107,64.77,0.290546,1410,778,832,876,903,41,38.00683928,40.64484612,42.79433317,44.11333659,-0.963702822,18.81866442
105,64.56,0.110197,1336,611,684,744,748,33.6,29.84855887,33.4147533,36.34587201,36.54127992,-1.905678013,7.11431832
104,57.95,0.199988,1320,637,708,688,624,32,31.11871031,34.58720078,33.61016121,30.48363459,-33.05198312,11.5893046
103,51.14,0.200642,1307,739,824,423,565,30.7,36.10161212,40.25403029,20.66438691,27.60136786,-33.94104923,10.26083188
102,45.92,0.200407,1356,1235,988,115,1057,35.6,60.33219345,48.26575476,5.617977528,51.63654128,-26.04699437,9.20268944
100,42.14,0.290471,1393,1170,1005,120,956,39.3,57.15681485,49.0962384,5.862237421,46.70249145,-13.01334729,12.24044794
99,40.69,0.110056,1402,1254,1009,115,997,40.2,61.26038105,49.29164631,5.617977528,48.70542257,-13.17511085,4.47817864
109,45.39,0.180492,1809,1703,1644,1656,1630,80.9,83.19491939,80.31265266,80.8988764,79.62872496,37.50858764,8.19253188
108,45.39,0.019841,1811,1682,1661,1653,1654,81.1,82.16902785,81.1431363,80.75232047,80.80117245,0,0.90058299
107,51.35,0.20047,1837,1729,1680,1741,1712,83.7,84.46507084,82.07132389,85.05129458,83.6345872,29.73013418,10.2941345
107,55.98,0.190239,2000,2047,1978,2000,2016,100,100,96.62921348,97.70395701,98.48558867,24.33780665,10.64957922
106,55.98,0.009654,2000,2047,1977,1996,2010,100,100,96.5803615,97.5085491,98.1924768,0,0.54043092
106,59.74,0.180623,2000,2012,1965,2003,2045,100,98.29018075,95.99413776,97.85051295,99.90229604,20.81683949,10.79041802
106,59.74,0.110238,2000,2043,1942,1988,2011,100,99.80459209,94.87054226,97.11773327,98.24132877,0,6.58561812
105,64.61,0.109994,2000,1995,1925,1986,2043,100,97.45969712,94.04005862,97.02002931,99.80459209,44.27514228,7.10671234
105,68.05,0.200439,2000,2000,1912,1998,2034,100,97.70395701,93.4049829,97.60625305,99.36492428,17.16232869,13.63987395
104,70.22,0.199977,2000,2038,1964,2007,2028,100,99.56033219,95.94528578,98.04592086,99.07181241,10.85124789,14.04238494
104,71.93,0.190489,2000,2034,1965,2001,2039,100,99.36492428,95.99413776,97.75280899,99.60918417,8.976896304,13.70187377
104,71.93,0.010173,2000,2034,1975,2003,2041,100,99.36492428,96.48265755,97.85051295,99.70688813,0,0.73174389
103,72.84,0.290395,2000,1937,1913,2000,2047,100,94.62628236,93.45383488,97.70395701,100,3.13366277,21.1523718
103,73.55,0.099914,2000,2047,1958,1992,2012,100,100,95.65217391,97.31314118,98.29018075,7.106111256,7.3486747
103,73.55,0.009944,2000,2047,1966,1987,2011,100,100,96.04298974,97.06888129,98.24132877,0,0.7313812
102,73.78,0.200493,2000,1972,1879,1952,2047,100,96.33610161,91.79286761,95.35906204,100,1.14717222,14.79237354
102,73.9,0.180039,2000,1937,1875,1954,2047,100,94.62628236,91.5974597,95.456766,100,0.666522254,13.3048821
102,73.9,0.019948,2000,1964,1888,1963,2047,100,95.94528578,92.23253542,95.89643381,100,0,1.4741572
102,73.81,0.180618,2000,1982,1921,1979,2047,100,96.8246214,93.84465071,96.67806546,100,-0.498289207,13.33141458
101,73.81,0.02008,2000,1990,1926,1981,2047,100,97.21543723,94.0889106,96.77576942,100,0,1.4821048
101,73.81,0.280324,2000,1991,1935,2000,2043,100,97.2642892,94.52857841,97.70395701,99.80459209,0,20.69071444
100,73.7,0.120009,1746,1574,1573,1497,1477,74.6,76.89301417,76.84416219,73.13141182,72.15437225,-0.916597922,8.8446633
100,73.61,0.200129,1312,993,970,115,559,31.2,48.51001466,47.38641915,5.617977528,27.30825598,-0.449709937,14.73149569
100,70.88,0.180587,1263,1001,1047,115,814,26.3,48.90083048,51.14802149,5.617977528,39.7655105,-15.11736725,12.80000656
99,70.88,0.019851,1261,1004,1018,115,770,26.1,49.04738642,49.73131412,5.617977528,37.61602345,0,1.40703888
98,62.15,0.20064,1257,987,967,115,705,25.7,48.21690278,47.23986321,5.617977528,34.44064485,-43.51076555,12.469776
98,55.95,0.180178,1277,988,853,115,942,27.7,48.26575476,41.67073766,5.617977528,46.01856375,-34.41041637,10.0809591
96,55.95,0.110144,1284,967,991,115,751,28.4,47.23986321,48.4123107,5.617977528,36.68783586,0,6.1625568
95,50.14,0.10985,1301,966,940,115,759,30.1,47.19101124,45.92085979,5.617977528,37.07865169,-52.89030496,5.507879
95,45.39,0.180502,1330,996,963,115,836,33,48.65657059,47.0444553,5.617977528,40.84025403,-26.31549789,8.19298578
93,45.39,0.019801,1333,1038,915,115,903,33.3,50.70835369,44.69956033,5.617977528,44.11333659,0,0.89876739
91,41.05,0.200374,1370,1099,881,115,1041,37,53.68832438,43.03859306,5.617977528,50.85490962,-21.65949674,8.2253527
81,43.28,0.200047,2000,2047,1973,1999,2008,100,100,96.38495359,97.65510503,98.09477284,35.29170645,8.65803416
78,49.99,0.29019,2000,2044,1951,1997,2006,100,99.85344406,95.31021006,97.55740107,97.99706888,23.12278163,14.5065981
75,55.54,0.110282,2000,1974,1916,1981,2047,100,96.43380557,93.60039082,96.77576942,100,50.3255291,6.12506228
72,58.89,0.200013,2000,1991,1902,2009,2029,100,97.2642892,92.91646312,98.14362482,99.12066439,16.74891132,11.77876557
70,61.26,0.200344,2000,1997,1898,2036,1979,100,97.55740107,92.7210552,99.46262824,96.67806546,11.829653,12.27307344
68,63.36,0.200501,2000,1950,1885,2038,2007,100,95.26135809,92.08597948,99.56033219,98.04592086,10.47376322,12.70374336
67,64.7,0.300584,2000,2003,1909,2040,1972,100,97.85051295,93.25842697,99.65803615,96.33610161,4.457988449,19.4477848
66,65.08,0.100108,2000,2047,1891,1922,1927,100,100,92.37909135,93.89350269,94.13776258,3.795900428,6.51502864
67,64.64,0.200061,1903,1936,1823,1799,1840,90.3,94.57743039,89.05715681,87.88470933,89.88764045,-2.199329205,12.93194304
67,63.81,0.179797,1556,1350,1249,907,1151,55.6,65.95017098,61.01612115,44.3087445,56.22862726,-4.616317291,11.47284657
69,63.81,0.020097,1556,1316,1228,845,1187,55.6,64.28920371,59.9902296,41.27992184,57.98729849,0,1.28238957
71,62.2,0.200108,1534,1392,1231,618,1157,53.4,68.00195408,60.13678554,30.19052272,56.52173913,-8.045655346,12.4467176
